id,heavy_seq,light_seq,label,source,smp,ova
pertuzumab,VNPNSGGS,,0,jain2017,0.000712708,0.000654295
denosumab,ITGSGGST,,0,jain2017,0.000718924,0.000248156
evolocumab,VSFYNGNT,,0,jain2017,0.063028677,0.013900665
gevokizumab,IWWDGDE,,1,jain2017,0.456834264,0.002878698
anifrolumab,IYPGDSDI,,1,jain2017,0.375533444,0.000595696
tocilizumab,ISYSGIT,,1,jain2017,0.524022346,0.277992853
bemarituzumab,IYPDNGDT,,0,jain2017,0.135928036,0.000802357
tarextumab,IASSGSNT,,0,jain2017,0.581130779,0.256632099
cabiralizumab,INPYNGGT,,0,jain2017,0.014173208,-4.14e-05
racotumomab,IFPGDGST,,0,jain2017,0.873241057,0.00186539
crizanlizumab,IYPGDGSI,,0,jain2017,0.617349891,0.000150662
lendalizumab,IHLNTGYT,,0,jain2017,0.227478345,0.000482311
lucatumumab,ISYEESNR,,0,jain2017,0.003712426,0.001751644
vonlerolizumab,MYPDNGDS,,0,jain2017,0.873818791,0.064731322
samalizumab,IDPYYGSS,,1,jain2017,0.007996127,0.001098325
andecaliximab,IWTGGTT,,0,jain2017,0.341530916,0.072209985
icrucumab,IWYDGSNK,,0,jain2017,0.049476362,0.012082385
conatumumab,IHNSGTT,,1,jain2017,0.037531554,0.000674908
pateclizumab,NNPYNAGT,,1,jain2017,0.04804094,0.019455647
bezlotoxumab,FYPGDSST,,1,jain2017,0.913645783,0.677053355
namilumab,LNPYSGDT,,1,jain2017,0.106575983,0.064660255
ublituximab,IYPGNGDT,,1,jain2017,0.613153591,0.508256463
trevogrumab,ISGSGGSA,,0,jain2017,0.007581274,-0.000541991
cemiplimab,ISGGGRDT,,0,jain2017,0.026789054,0.005998933
brazikumab,IWYDGSNE,,0,jain2017,0.482195189,0.000187493
monalizumab,IDPYDSET,,0,jain2017,0.028142727,-0.000180909
teplizumab,INPSRGYT,,1,jain2017,0.916149408,0.581482173
siltuximab,ISSGGSYT,,0,jain2017,0.718049145,0.001866716
adalimumab,ITWNSGHI,,0,jain2017,0.341530916,6.5e-05
